task_key,fig_name,T,r,g,rep,seed,target_strategy,opponent_strategy,target_freq,winner,converged,generation,wg,r_over_g
fig4_B__T=1000__r=0__freq=0.900__rep=0__seed=419900,fig4_B,1000,0,5,0,419900,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=10__seed=419910,fig4_B,1000,0,5,10,419910,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=11__seed=419911,fig4_B,1000,0,5,11,419911,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=12__seed=419912,fig4_B,1000,0,5,12,419912,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=13__seed=419913,fig4_B,1000,0,5,13,419913,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=14__seed=419914,fig4_B,1000,0,5,14,419914,ADVISOR,LIAR,0.9,LIAR,True,8,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=15__seed=419915,fig4_B,1000,0,5,15,419915,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=16__seed=419916,fig4_B,1000,0,5,16,419916,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=17__seed=419917,fig4_B,1000,0,5,17,419917,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=18__seed=419918,fig4_B,1000,0,5,18,419918,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=19__seed=419919,fig4_B,1000,0,5,19,419919,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=1__seed=419901,fig4_B,1000,0,5,1,419901,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=20__seed=419920,fig4_B,1000,0,5,20,419920,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=21__seed=419921,fig4_B,1000,0,5,21,419921,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=22__seed=419922,fig4_B,1000,0,5,22,419922,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=23__seed=419923,fig4_B,1000,0,5,23,419923,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=24__seed=419924,fig4_B,1000,0,5,24,419924,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=25__seed=419925,fig4_B,1000,0,5,25,419925,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=26__seed=419926,fig4_B,1000,0,5,26,419926,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=27__seed=419927,fig4_B,1000,0,5,27,419927,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=28__seed=419928,fig4_B,1000,0,5,28,419928,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=29__seed=419929,fig4_B,1000,0,5,29,419929,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=2__seed=419902,fig4_B,1000,0,5,2,419902,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=30__seed=419930,fig4_B,1000,0,5,30,419930,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=31__seed=419931,fig4_B,1000,0,5,31,419931,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=32__seed=419932,fig4_B,1000,0,5,32,419932,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=33__seed=419933,fig4_B,1000,0,5,33,419933,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=34__seed=419934,fig4_B,1000,0,5,34,419934,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=35__seed=419935,fig4_B,1000,0,5,35,419935,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=36__seed=419936,fig4_B,1000,0,5,36,419936,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=37__seed=419937,fig4_B,1000,0,5,37,419937,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=38__seed=419938,fig4_B,1000,0,5,38,419938,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=39__seed=419939,fig4_B,1000,0,5,39,419939,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=3__seed=419903,fig4_B,1000,0,5,3,419903,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=40__seed=419940,fig4_B,1000,0,5,40,419940,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=41__seed=419941,fig4_B,1000,0,5,41,419941,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=42__seed=419942,fig4_B,1000,0,5,42,419942,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=43__seed=419943,fig4_B,1000,0,5,43,419943,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=44__seed=419944,fig4_B,1000,0,5,44,419944,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=45__seed=419945,fig4_B,1000,0,5,45,419945,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=46__seed=419946,fig4_B,1000,0,5,46,419946,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=47__seed=419947,fig4_B,1000,0,5,47,419947,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=48__seed=419948,fig4_B,1000,0,5,48,419948,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=49__seed=419949,fig4_B,1000,0,5,49,419949,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=4__seed=419904,fig4_B,1000,0,5,4,419904,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=50__seed=419950,fig4_B,1000,0,5,50,419950,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=51__seed=419951,fig4_B,1000,0,5,51,419951,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=52__seed=419952,fig4_B,1000,0,5,52,419952,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=53__seed=419953,fig4_B,1000,0,5,53,419953,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=54__seed=419954,fig4_B,1000,0,5,54,419954,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=55__seed=419955,fig4_B,1000,0,5,55,419955,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=56__seed=419956,fig4_B,1000,0,5,56,419956,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=57__seed=419957,fig4_B,1000,0,5,57,419957,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=58__seed=419958,fig4_B,1000,0,5,58,419958,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=59__seed=419959,fig4_B,1000,0,5,59,419959,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=5__seed=419905,fig4_B,1000,0,5,5,419905,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=60__seed=419960,fig4_B,1000,0,5,60,419960,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=61__seed=419961,fig4_B,1000,0,5,61,419961,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=62__seed=419962,fig4_B,1000,0,5,62,419962,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=63__seed=419963,fig4_B,1000,0,5,63,419963,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=64__seed=419964,fig4_B,1000,0,5,64,419964,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=65__seed=419965,fig4_B,1000,0,5,65,419965,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=66__seed=419966,fig4_B,1000,0,5,66,419966,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=67__seed=419967,fig4_B,1000,0,5,67,419967,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=68__seed=419968,fig4_B,1000,0,5,68,419968,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=69__seed=419969,fig4_B,1000,0,5,69,419969,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=6__seed=419906,fig4_B,1000,0,5,6,419906,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=70__seed=419970,fig4_B,1000,0,5,70,419970,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=71__seed=419971,fig4_B,1000,0,5,71,419971,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=72__seed=419972,fig4_B,1000,0,5,72,419972,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=73__seed=419973,fig4_B,1000,0,5,73,419973,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=74__seed=419974,fig4_B,1000,0,5,74,419974,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=75__seed=419975,fig4_B,1000,0,5,75,419975,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=76__seed=419976,fig4_B,1000,0,5,76,419976,ADVISOR,LIAR,0.9,LIAR,True,10,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=77__seed=419977,fig4_B,1000,0,5,77,419977,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=78__seed=419978,fig4_B,1000,0,5,78,419978,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=79__seed=419979,fig4_B,1000,0,5,79,419979,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=7__seed=419907,fig4_B,1000,0,5,7,419907,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=80__seed=419980,fig4_B,1000,0,5,80,419980,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=81__seed=419981,fig4_B,1000,0,5,81,419981,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=82__seed=419982,fig4_B,1000,0,5,82,419982,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=83__seed=419983,fig4_B,1000,0,5,83,419983,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=84__seed=419984,fig4_B,1000,0,5,84,419984,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=85__seed=419985,fig4_B,1000,0,5,85,419985,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=86__seed=419986,fig4_B,1000,0,5,86,419986,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=87__seed=419987,fig4_B,1000,0,5,87,419987,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=88__seed=419988,fig4_B,1000,0,5,88,419988,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=89__seed=419989,fig4_B,1000,0,5,89,419989,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=8__seed=419908,fig4_B,1000,0,5,8,419908,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=90__seed=419990,fig4_B,1000,0,5,90,419990,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=91__seed=419991,fig4_B,1000,0,5,91,419991,ADVISOR,LIAR,0.9,LIAR,True,9,6.410256410256411,0.0
fig4_B__T=1000__r=0__freq=0.900__rep=92__seed=419992,fig4_B,1000,0,5,92,419992,ADVISOR,LIAR,0.9,LIAR,True,8,6.410256410256411,0.0
