fig_name,T,r,g,target_freq,target_strategy,opponent_strategy,wg,r_over_g,target_win_rate,opponent_win_rate,tie_rate,other_rate,finished_trials,expected_trials,is_complete,converged_rate,avg_generation
fig7,100,0,5,0.1,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,2.28
fig7,100,0,5,0.2,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,3.45
fig7,100,0,5,0.3,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,4.47
fig7,100,0,5,0.4,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,5.25
fig7,100,0,5,0.5,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,6.39
fig7,100,0,5,0.6,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,7.84
fig7,100,0,5,0.7,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,9.53
fig7,100,0,5,0.8,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,12.04
fig7,100,0,5,0.9,LIKE_TFT,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,16.45
fig7,200,0,5,0.1,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,3.49
fig7,200,0,5,0.2,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,4.94
fig7,200,0,5,0.3,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,6.4
fig7,200,0,5,0.4,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,8.0
fig7,200,0,5,0.5,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,10.39
fig7,200,0,5,0.6,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,13.25
fig7,200,0,5,0.7,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,18.13
fig7,200,0,5,0.8,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,30.41
fig7,200,0,5,0.9,LIKE_TFT,LIAR,1.2820512820512822,0.0,0.37,0.63,0.0,0.0,100,100,True,0.63,268.19
fig7,300,0,5,0.1,LIKE_TFT,LIAR,1.9230769230769231,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,6.54
fig7,300,0,5,0.2,LIKE_TFT,LIAR,1.9230769230769231,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,7.83
fig7,300,0,5,0.3,LIKE_TFT,LIAR,1.9230769230769231,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,10.49
